user_id,event_datetime,event_type,search_term,search_engine
3a79ce4552a43654951e5ce04b7a0b51,2023-08-31 23:53:02,search,sell apple watch,google
3a79ce4552a43654951e5ce04b7a0b51,2023-08-31 23:44:44,search,can i connect apple watch to android,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 23:42:33,search,carolina reaper,google
3a79ce4552a43654951e5ce04b7a0b51,2023-08-31 23:01:23,search,aarons,google
3584fc0dfc333b91b6a85b8ee4c5afe3,2023-08-31 22:52:03,search,merryhill fair,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:24:57,search,little caesars,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:22:48,search,instacart $50 off promo code,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:22:19,search,instacart code checker not working,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:21:12,search,instacart code checker,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:20:44,search,rusty willis toccoa ga,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:20:01,search,instacart codes $50 2023,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 22:19:55,search,instacart codes may 2023,google
b556a3bdc3353bfdb3bbcd6826461539,2023-08-31 22:19:45,search,nts hours,google
dcbc88b5a1b53b17942c7a55abe81866,2023-08-31 22:17:18,search,how to cook rice,google
b556a3bdc3353bfdb3bbcd6826461539,2023-08-31 22:14:51,search,rep the y,google
edd5338bd3e83588af250d2b13a70e24,2023-08-31 21:55:04,search,80% of $15,google
edd5338bd3e83588af250d2b13a70e24,2023-08-31 21:54:57,search,80% of $16,google
d9c5f57e5888358b82adf75386beb793,2023-08-31 21:50:14,search,cumulative frequency,google
d9c5f57e5888358b82adf75386beb793,2023-08-31 21:50:08,search,cm^3 to l,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 21:45:07,search,pain in upper back when bending over,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 21:43:39,search,pain in upper back,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 21:43:29,search,lady said they moved dolphs body cookie shop,google
f91d270afa94379eb3a364491c8a5823,2023-08-31 21:39:03,search,dolph conspiracy,google
b556a3bdc3353bfdb3bbcd6826461539,2023-08-31 21:33:46,search,shopko,google
c73a8395ce753782ac06777a5c0b0643,2023-08-31 21:28:58,search,home depot,google
